,,,,Σύνολο κτιρίων αποκλειστικής χρήσης,Αποκλειστική χρήση κτιρίων,,,,,,,,,,,,,,,Σύνολο κτιρίων μεικτής χρήσης,Κύρια χρήση κτιρίων μεικτής χρήσης,,,,,,,,,,,,,,
,,,,,Κατοικία,Θρησκευτικός χώρος,Ξενοδοχείο ή άλλου είδους τουριστική εγκατάσταση,Εργοστάσιο-εργαστήριο,Σχολικό κτίριο,Φροντιστήριο,"Κοινωνικής πρόνοιας (π.χ παιδικός σταθμός, οίκος ευγηρίας)",Αστυνομικός ή πυροσβεστικός σταθμός,Σωφρονιστικό ίδρυμα,Δημόσια υπηρεσία (γραφεία),Κατάστημα-γραφείο,Χώρος θεαμάτων-συνεδριακός χώρος-μουσείο-βιβλιοθήκη,Σταθμός αυτοκινήτων (πάρκινγκ),Νοσοκομείο-κλινική,Άλλη χρήση,,Κατοικία,Θρησκευτικός χώρος,Ξενοδοχείο ή άλλου είδους τουριστική εγκατάσταση,Εργοστάσιο-εργαστήριο,Σχολικό κτίριο,Φροντιστήριο,"Κοινωνικής πρόνοιας (π.χ παιδικός σταθμός, οίκος ευγηρίας)",Αστυνομικός ή πυροσβεστικός σταθμός,Σωφρονιστικό ίδρυμα,Δημόσια υπηρεσία (γραφεία),Κατάστημα-γραφείο,Χώρος θεαμάτων-συνεδριακός χώρος-μουσείο-βιβλιοθήκη,Σταθμός αυτοκινήτων (πάρκινγκ),Νοσοκομείο-κλινική,Άλλη χρήση
8,1110101020901,"Πόρπη,η",371,350,182,2,0,2,2,0,0,0,0,2,8,0,0,0,152,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11101010210,Δημοτική Κοινότητα Φαναρίου,447,419,349,2,10,1,1,0,0,0,0,3,12,1,0,0,40,28,21,0,4,0,0,0,0,0,0,0,2,1,0,0,0
8,1110101021001,"Φανάριον,το",447,419,349,2,10,1,1,0,0,0,0,3,12,1,0,0,40,28,21,0,4,0,0,0,0,0,0,0,2,1,0,0,0
6,111010103,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ,2325,2180,1286,15,1,26,15,0,5,0,0,2,40,1,0,0,789,145,137,0,0,3,0,0,0,0,0,0,4,1,0,0,0
7,11101010301,Δημοτική Κοινότητα Νέου Σιδηροχωρίου,1116,985,609,8,1,11,9,0,3,0,0,1,21,0,0,0,322,131,129,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,1110101030101,"Νέον Σιδηροχώριον,το",433,336,208,4,0,4,5,0,2,0,0,1,6,0,0,0,106,97,95,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,1110101030102,"Αδριανή,η",164,146,84,1,0,0,1,0,0,0,0,0,5,0,0,0,55,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101030103,"Καλαμόκαστρον,το",293,293,182,1,1,6,1,0,1,0,0,0,6,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101030104,"Μαυρομμάτιον,το",77,61,47,1,0,0,1,0,0,0,0,0,1,0,0,0,11,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101030105,"Μικρόν Δουκάτον,το",149,149,88,1,0,1,1,0,0,0,0,0,3,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11101010302,Δημοτική Κοινότητα Αγίων Θεοδώρων,374,366,209,2,0,1,1,0,1,0,0,1,4,0,0,0,147,8,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0
8,1110101030201,"Άγιοι Θεόδωροι,οι",374,366,209,2,0,1,1,0,1,0,0,1,4,0,0,0,147,8,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0
7,11101010303,Δημοτική Κοινότητα Μεγάλου Δουκάτου,438,435,229,1,0,10,1,0,0,0,0,0,6,1,0,0,187,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1110101030301,"Μέγα Δουκάτον,το",438,435,229,1,0,10,1,0,0,0,0,0,6,1,0,0,187,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,11101010304,Δημοτική Κοινότητα Παγουρίων,397,394,239,4,0,4,4,0,1,0,0,0,9,0,0,0,133,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1110101030401,"Παγούρια,τα",397,394,239,4,0,4,4,0,1,0,0,0,9,0,0,0,133,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,1110102,ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ,11786,10911,5719,86,3,31,69,2,6,5,0,14,358,4,0,1,4613,875,830,7,0,2,7,1,0,0,0,0,18,0,0,0,10
6,111010201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΦΙΛΛΥΡΑΣ,4707,4195,2427,28,0,13,19,1,0,2,0,5,161,2,0,0,1537,512,491,5,0,2,6,0,0,0,0,0,8,0,0,0,0
7,11101020101,Δημοτική Κοινότητα Φιλλύρας,496,381,214,4,0,8,2,0,0,1,0,2,37,1,0,0,112,115,111,0,0,2,0,0,0,0,0,0,2,0,0,0,0
8,1110102010101,"Φιλλύρα,η",496,381,214,4,0,8,2,0,0,1,0,2,37,1,0,0,112,115,111,0,0,2,0,0,0,0,0,0,2,0,0,0,0
7,11101020102,Δημοτική Κοινότητα Άγρας,158,140,67,1,0,0,1,0,0,0,0,0,2,0,0,0,69,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110102010201,"Άγρα,η",158,140,67,1,0,0,1,0,0,0,0,0,2,0,0,0,69,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11101020103,Δημοτική Κοινότητα Άνω Δροσίνης,75,56,27,0,0,0,0,0,0,0,0,0,1,0,0,0,28,19,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1110102010301,"Άνω Δροσινή,η",75,56,27,0,0,0,0,0,0,0,0,0,1,0,0,0,28,19,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7,11101020104,Δημοτική Κοινότητα Αράτου,673,611,408,3,0,1,3,0,0,0,0,1,40,1,0,0,154,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110102010401,"Άρατος,ο",673,611,408,3,0,1,3,0,0,0,0,1,40,1,0,0,154,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11101020105,Δημοτική Κοινότητα Αρδείας,42,28,7,1,0,0,0,0,0,0,0,0,0,0,0,0,20,14,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1110102010501,"Αρδεία,η",42,28,7,1,0,0,0,0,0,0,0,0,0,0,0,0,20,14,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0
